season,leg,opponent,path,active
2025-2026,A,Lazio,(a1) Decimo-Lazio 3-0/Decimo-Lazio 3-0.xlsx,1
2025-2026,A,PQP,(a2) Pqp - Decimo 3-0/[decimo] Pqp - decimo.xlsx,1
2025-2026,A,Appio,(a3) Decimo - Appio 0-3/[Decimo] Decimo - Appio.xlsx,1
2025-2026,A,Monterotondo,(a4) Decimo - Monterotondo 1-3/[Decimo] Decimo - Monterotondo.xlsx,1
2025-2026,A,Roma7,(a5) Roma7 - Decimo 2-3/[Decimo] Roma7 - decimo.xlsx,1
2025-2026,A,Stella Mantus,(a6) decimo - stella mantus 3-1/[Decimo] Decimo - Stella mantus.xlsx,1
2025-2026,A,Roman,(a7) decimo - roman 0-3/[Decimo] Roman - Decimo.xlsx,1
2025-2026,A,Poolstars,(a8) Decimo - Poolstars 0-3/[Decimo] Decimo - poolstars.xlsx,1
2025-2026,A,Civitavecchia,(a9) Civitavecchia - Decimo 3-1/[Decimo] Civitavecchia - Decimo.xlsx,1
2025-2026,A,JVC,(a10) decimo-jvc 3-2/[decimo] Decimo-jvc.xlsx,1
2025-2026,A,Astrolabio,(a11) Astrolabio-Decimo 1-3/[decimo] Astrolabio-decimo.xlsx,1
2025-2026,A,NMC,(a12) Decimo-NMC 3-2/[decimo] decimo-nmc.xlsx,1
2025-2026,A,S.Monica,(a13) S.Monica-Decimo 1-3/[Decimo] S.Monica-Decimo.xlsx,1
2025-2026,R,Lazio,(a14) Lazio-Decimo 3-0/[Decimo] Lazio-Decimo.xlsx,1
2025-2026,R,PQP,(a15) Decimo-Pqp 0-3/[Decimo] Decimo-pqp.xlsx,1
2025-2026,R,Appio,(a16) Appio-Decimo 3-1/[Decimo] Appio-Decimo.xlsx,1
2025-2026,R,Monterotondo,(a17) Monterotondo - Decimo 3-0/[Decimo] Monterotondo - Decimo.xlsx,1
2025-2026,R,Roma7,(a18) Decimo-Roma7 3-0/[Decimo] Decimo - Roma7.xlsx,1
2025-2026,R,Stella Mantus,(a19) Stella Mantus - Decimo 3-1/[Decimo] Stella mantus - Decimo.xlsx,1
2025-2026,R,Roman,(a20) Decimo - Roman/[Decimo] Decimo - roman.xlsx,1
2025-2026,R,Poolstars,(a21) Poolstars - Decimo 3-1/[Decimo] Poolstars - Decimo.xlsx,1
2025-2026,R,Civitavecchia,(a22) Decimo - Civitavecchia 1-3/[Decimo] Decimo - Civitavecchia.xlsx,1
2025-2026,R,JVC,(a23) jvc - decimo 3-0/[decimo] jvc - decimo.xlsx,1
2025-2026,R,Astrolabio,(a24) decimo - astrolabio 3-0/[decimo] decimo - astrolabio.xlsx,1
2025-2026,R,NMC,(a25) NMC - decimo 3-0/[decimo] NMC - decimo.xlsx,1
2025-2026,R,S.Monica,(a26) decimo - s.monica 3-1/[decimo] decimo - santa monica.xlsx,1
2025-2026,POA,JVC,(POA) decimo - jvc 3-0/[decimo] decimo-jvc.xlsx,1
2025-2026,POR,JVC,(POR) jvc - decimo 3-1+1/[decimo] jvc-decimo.xlsx,1
